system   D            wsystem.c:583  maybe_parent_dir                 [   0.00130] Also searching C:\Users\Wojciech\Documents\Visual Studio 2013\Projects\allegro\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00201] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00207] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01171] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.09034] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.09044] Allegro version: 5.0.7
d3d      I         d3d_disp.cpp:1921 d3d_create_display_locked        [   0.09233] faux_fullscreen=0
display  D   display_settings.c:191  debug_display_settings           [   0.09476] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09483] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09486] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09490] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09493] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09496] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09499] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09503] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09505] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09509] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09512] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09517] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.09520] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09523] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09526] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09530] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09532] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09536] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09539] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09553] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09556] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09559] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09562] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09566] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09569] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09572] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09587] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09592] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.09594] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09598] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09601] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09605] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09607] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09611] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09614] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09619] Score is : 715
